,number,title,update,vol,date
0,57030,一個人的○○小日子,04/13,2,2019/04/13 15:00:08
1,93242,滿腦都是○○的我沒辦法談戀愛,04/13,2,2019/04/13 15:00:08
2,43864,川柳少女,04/13,2,2019/04/13 15:00:08
3,4354109,JOJO 的奇妙冒險 黃金之風,04/13,26,2019/04/13 15:00:08
4,統計中,魔法水果籃,04/13,1,2019/04/13 15:00:08
5,2149,戀愛幕末男友外傳-危機,04/12,2,2019/04/13 15:00:08
6,57250,Fight League 交鋒聯盟,04/11,9,2019/04/13 15:00:08
7,356899,一拳超人 (第二季),04/10,13,2019/04/13 15:00:08
8,14948,強襲魔女 501 部隊出動！,04/10,1,2019/04/13 15:00:08
9,58901,鑽石王牌 act2,04/09,2,2019/04/13 15:00:08
10,29889,八月的棒球甜心,04/08,1,2019/04/13 15:00:08
11,105237,為什麼老師會在這裡！？,04/08,1,2019/04/13 15:00:08
12,226676,逆轉裁判 第二季,04/08,23,2019/04/13 15:00:08
13,2003089,FAIRY TAIL 魔導少年 最終章,04/07,303,2019/04/13 15:00:08
14,23035,一弦定音！,04/07,1,2019/04/13 15:00:08
15,72243,我們真的學不來！,04/07,1,2019/04/13 15:00:08
16,115495,鬼滅之刃,04/07,1,2019/04/13 15:00:08
17,52799,信長老師的年幼妻子,04/06,1,2019/04/13 15:00:08
18,54951,高中女生,04/06,1,2019/04/13 15:00:08
19,18375,超可動女孩 1/6,04/06,1,2019/04/13 15:00:08
20,17336,MIX,04/06,1,2019/04/13 15:00:08
21,977440,家有女友,04/06,12,2019/04/13 15:00:08
22,1830356,魔法禁書目錄 Ⅲ,04/05,26,2019/04/13 15:00:08
23,261513,不愉快的妖怪庵 續,04/02,13,2019/04/13 15:00:08
24,129657,動物朋友 2,04/02,12,2019/04/13 15:00:08
25,1411674,隊長小翼,04/02,52,2019/04/13 15:00:08
26,2391051,路人超能 100 第二季,04/01,13,2019/04/13 15:00:08
27,416532,荒野的壽飛行隊,03/31,12,2019/04/13 15:00:08
28,1068832,約會大作戰 DATE A LIVE 第三季,03/31,12,2019/04/13 15:00:08
29,465865,ENDRO！,03/31,12,2019/04/13 15:00:08
30,7364313,刀劍神域 Alicization,03/31,24,2019/04/13 15:00:08
31,3450913,輝夜姬想讓人告白～天才們的戀愛頭腦戰～,03/31,12,2019/04/13 15:00:08
